hit	m	n	rule	winners	t_sec
38	20	101	2-approval	(349,)	0.007439136505126953
38	20	101	Borda	(349,)	0.013649702072143555
39	20	100	Plurality	(286,)	0.0063245296478271484
39	20	100	2-approval	(139,)	0.007529497146606445
39	20	100	Borda	(46,)	0.015067338943481445
40	20	100	Plurality	(151,)	0.006289243698120117
40	20	100	2-approval	(107,)	0.007384300231933594
40	20	100	Borda	(107,)	0.015289783477783203
41	20	100	Plurality	(202,)	0.006812334060668945
41	20	100	2-approval	(202,)	0.007908821105957031
41	20	100	Borda	(202,)	0.013474702835083008
42	20	100	Plurality	(387,)	0.006478309631347656
42	20	100	2-approval	(387,)	0.007634162902832031
42	20	100	Borda	(387,)	0.014064311981201172
43	19	100	Plurality	(182,)	0.005788564682006836
43	19	100	2-approval	(182,)	0.007070302963256836
43	19	100	Borda	(182,)	0.015324115753173828
44	19	100	Plurality	(194,)	0.006251096725463867
44	19	100	2-approval	(194,)	0.00729823112487793
44	19	100	Borda	(194,)	0.013319253921508789
45	20	100	Plurality	(349,)	0.006376028060913086
45	20	100	2-approval	(349,)	0.007595062255859375
45	20	100	Borda	(349,)	0.01597142219543457
46	19	100	Plurality	(330,)	0.0061130523681640625
46	19	100	2-approval	(330,)	0.007005929946899414
46	19	100	Borda	(330,)	0.013427734375
47	20	100	Plurality	(236,)	0.006951093673706055
47	20	100	2-approval	(236,)	0.00824117660522461
47	20	100	Borda	(439,)	0.01444864273071289
48	20	100	Plurality	(291,)	0.006851911544799805
48	20	100	2-approval	(291,)	0.007993936538696289
48	20	100	Borda	(291,)	0.014258623123168945
49	20	100	Plurality	(401,)	0.006022453308105469
49	20	100	2-approval	(401,)	0.0070896148681640625
49	20	100	Borda	(401,)	0.01521921157836914
50	20	100	Plurality	(46,)	0.006527423858642578
50	20	100	2-approval	(46,)	0.007720232009887695
50	20	100	Borda	(46,)	0.014930009841918945
