hitid,uid,ranking
1,246,"[349, 279, 420, 318, 22, 174, 330, 163, 259, 216]"
1,252,"[349, 70, 130, 318, 283, 131, 216]"
1,261,"[112, 317, 130, 349, 258, 231, 70, 283, 449, 163, 279, 259, 318, 174, 3, 330, 420, 22, 131, 216]"
1,263,"[112, 420, 258]"
1,268,"[317, 279, 130, 259, 449, 70, 22, 349, 112, 258, 216, 131, 330, 3, 420, 318, 163, 174, 283, 231]"
1,281,"[318, 420, 22, 174, 279]"
1,285,"[131, 216, 130, 330, 70]"
1,288,"[349, 279, 420, 22, 174]"
1,290,"[130, 112, 330, 258, 70, 317, 420, 259, 279, 163, 349, 22, 318, 231, 174, 3, 216, 131]"
1,296,"[216, 112, 349, 130, 330, 279, 131, 174, 449, 231, 3]"
1,297,"[112, 130, 330, 70, 3, 317, 131, 283, 420, 174]"
1,299,"[231, 349, 283, 279, 318, 420, 112]"
1,308,"[349, 112, 130, 231, 330, 317, 283, 259, 163, 70, 174, 3, 279]"
1,310,"[283, 259, 163, 318, 420, 330, 131, 231, 130, 22, 174, 279]"
1,311,"[131, 174, 130, 330, 279]"
1,327,"[163, 259, 318, 22, 112, 349, 174, 420, 279, 3, 131, 317, 231, 216, 130]"
1,329,"[216, 131, 349]"
1,330,"[259, 3, 330, 163]"
1,331,"[449, 231, 258, 259, 163, 317, 174, 130, 318, 112, 349, 22, 279, 131, 283, 3, 330, 420, 216, 70]"
1,332,"[283, 130, 3, 231, 330, 174, 279]"
1,338,"[283, 349, 279, 259, 163, 112, 231, 420, 174, 22, 216, 330, 318]"
1,343,"[283, 216, 131, 279, 3, 130, 259, 449, 22, 420, 163, 70, 318, 174]"
1,348,"[130, 283, 279, 330, 22, 317, 70, 258, 216, 231, 3, 174, 449, 131, 112, 163, 420, 318, 349, 259]"
2,7,"[161, 328, 347, 131, 438]"
2,14,"[161, 296, 455, 346, 328, 369, 347, 164, 94, 150]"
2,28,"[196, 161, 347, 346, 55, 296, 94, 369, 328, 131, 164, 438]"
2,29,"[161, 346, 131, 94, 328, 380, 196, 347, 369, 438, 455, 296]"
2,30,"[382, 438, 455, 55, 346, 164, 161, 347, 94, 131, 296, 328, 150, 196, 413, 380, 369, 459, 209, 10]"
2,34,"[455, 161, 296, 131, 328, 94, 438, 55, 346, 164, 347]"
2,37,"[10, 296, 328, 161, 346, 164, 382, 413, 55, 94, 347, 455, 196, 438, 459, 380, 131]"
2,39,"[161, 346, 55, 455, 164, 131, 347, 94, 296, 328]"
2,48,"[296, 346, 347, 196, 455, 438]"
2,51,"[161, 164, 328, 369, 94, 346, 347, 150, 196, 455, 131]"
2,53,"[455, 161, 438, 328, 55, 196]"
2,58,"[161, 328, 346, 55]"
2,60,"[328, 161, 346, 347, 296, 196, 438]"
2,61,"[161, 94, 346, 164, 328, 369, 296, 438]"
2,67,"[438, 455, 150, 346, 328]"
2,69,"[455, 328, 296, 164, 94, 55, 161, 346, 438, 369, 347, 150]"
2,71,"[382, 55, 455, 10, 296, 94, 161, 131]"
2,74,"[161, 346, 328, 296, 459, 380, 369, 55, 455, 196, 347, 150, 438, 382, 94, 131]"
2,81,"[346, 347, 161, 438, 328, 150]"
2,83,"[161, 382, 131, 164, 455, 55, 346, 296, 328]"
2,84,"[161, 328, 346, 347, 296, 438, 382, 455, 196, 94, 150, 459, 10, 55, 380, 164, 413, 369, 131, 209]"
2,85,"[55, 296, 131, 382, 438, 164, 455]"
2,90,"[161, 94, 382, 347, 131, 164, 459, 438, 328, 296, 346, 55, 455, 196, 369]"
2,95,"[438, 346, 161, 296, 131, 328, 55, 150, 455, 94, 347, 382]"
2,98,"[150, 455, 346, 161, 164, 347, 369, 328, 438]"
2,102,"[161, 196, 382, 94, 438, 296, 150, 347, 346, 369, 55, 328, 455]"
2,103,"[346, 455, 438]"
2,104,"[94, 161, 438, 164, 131, 455, 346, 328, 347, 369]"
2,106,"[346, 131, 347, 161, 296, 94, 455, 164, 438]"
2,108,"[196, 438, 164, 131, 369, 296, 161, 150, 55, 346]"
